Compound Name	SMILES	InChi	InChiKey	Strains	Protein	Reference	Protein ID from OG database	NCBI ID
Vinyl Chloride	C=CCl	InChI=1S/C2H3Cl/c1-2-3/h2H,1H2	BZHJMEDXRYGGRV-UHFFFAOYSA-N	Dehalococcoides mccartyi VS	VcrA	PMID: 25686300;PMID: 25934625 	8658217VS	ACZ62391.1
cis-1,2-Dichloroethene	C(=CCl)Cl	InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H/b2-1-	KFUSEUYYWQURPO-UPHRSURJSA-N	Dehalococcoides mccartyi VS	VcrA	PMID: 25686300;PMID: 25934625 	8658217VS	ACZ62391.1
1,1-Dichloroethene	C=C(Cl)Cl.C=C(Cl)Cl	InChI=1S/2C2H2Cl2/c2*1-2(3)4/h2*1H2	YMOSUBJHLKNJIU-UHFFFAOYSA-N	Dehalococcoides mccartyi VS	VcrA	PMID: 25686300;PMID: 25934625 	8658217VS	ACZ62391.1
Trichloroethene	C(=C(Cl)Cl)Cl	InChI=1S/C2HCl3/c3-1-2(4)5/h1H	XSTXAVWGXDQKEL-UHFFFAOYSA-N	Dehalococcoides mccartyi VS	VcrA	PMID: 25686300;PMID: 25934625 	8658217VS	ACZ62391.1
1,2-Dichloroethane	C(CCl)Cl	InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2	WSLDOOZREJYCGB-UHFFFAOYSA-N	Dehalococcoides mccartyi VS	VcrA	PMID: 25686300;PMID: 25934625 	8658217VS	ACZ62391.1
Trichloroethene	C(=C(Cl)Cl)Cl	InChI=1S/C2HCl3/c3-1-2(4)5/h1H	XSTXAVWGXDQKEL-UHFFFAOYSA-N	Dehalococcoides mccartyi 195	TceA	PMID: 11097881	DET0079_tceA	WP_010935886.1
cis-Dichloroethene	C(=CCl)Cl	InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H/b2-1-	KFUSEUYYWQURPO-UPHRSURJSA-N	Dehalococcoides mccartyi 195	TceA	PMID: 11097881	DET0079_tceA	WP_010935886.1
trans-Dichloroethene	C(=CCl)Cl	InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H/b2-1+	KFUSEUYYWQURPO-OWOJBTEDSA-N	Dehalococcoides mccartyi 195	TceA	PMID: 11097881	DET0079_tceA	WP_010935886.1
1,1-Dichloroethene	C=C(Cl)Cl.C=C(Cl)Cl	InChI=1S/2C2H2Cl2/c2*1-2(3)4/h2*1H2	YMOSUBJHLKNJIU-UHFFFAOYSA-N	Dehalococcoides mccartyi 195	TceA	PMID: 11097881	DET0079_tceA	WP_010935886.1
Vinyl Chloride	C=CCl	InChI=1S/C2H3Cl/c1-2-3/h2H,1H2	BZHJMEDXRYGGRV-UHFFFAOYSA-N	Dehalococcoides mccartyi 195	TceA	PMID: 11097881	DET0079_tceA	WP_010935886.1
1,2-Dichloroethane	C(CCl)Cl	InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2	WSLDOOZREJYCGB-UHFFFAOYSA-N	Dehalococcoides mccartyi 195	TceA	PMID: 11097881	DET0079_tceA	WP_010935886.1
Vinyl Bromide	C=CBr	InChI=1S/C2H3Br/c1-2-3/h2H,1H2	INLLPKCGLOXCIV-UHFFFAOYSA-N	Dehalococcoides mccartyi 195	TceA	PMID: 11097881	DET0079_tceA	WP_010935886.1
1,2-Dichloroethane	C(CCl)Cl	InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2	WSLDOOZREJYCGB-UHFFFAOYSA-N	Dehalococcoides mccartyi 195	TceA	PMID: 11097881	DET0079_tceA	WP_010935886.1
1,2-Dibromoethane	C(CBr)Br	InChI=1S/C2H4Br2/c3-1-2-4/h1-2H2	PAAZPARNPHGIKF-UHFFFAOYSA-N	Dehalococcoides mccartyi 195	TceA	PMID: 11097881	DET0079_tceA	WP_010935886.1
1,3-Dichloropropene	C(C=CCl)Cl	InChI=1S/C3H4Cl2/c4-2-1-3-5/h1-2H,3H2/b2-1+	UOORRWUZONOOLO-OWOJBTEDSA-N	Dehalococcoides mccartyi 195	TceA	PMID: 11097881	DET0079_tceA	WP_010935886.1
cis-1-Bromo-1-propene	CC=CBr	InChI=1S/C3H5Br/c1-2-3-4/h2-3H,1H3/b3-2-	NNQDMQVWOWCVEM-IHWYPQMZSA-N	Dehalococcoides mccartyi 195	TceA	PMID: 11097881	DET0079_tceA	WP_010935886.1
trans-1-Bromo-1-propene	CC=CBr	InChI=1S/C3H5Br/c1-2-3-4/h2-3H,1H3/b3-2-	NNQDMQVWOWCVEM-IHWYPQMZSA-N	Dehalococcoides mccartyi 195	TceA	PMID: 11097881	DET0079_tceA	WP_010935886.1
1,1-Dichloropropene	CC=C(Cl)Cl	InChI=1S/C3H4Cl2/c1-2-3(4)5/h2H,1H3	ZAIDIVBQUMFXEC-UHFFFAOYSA-N	Dehalococcoides mccartyi 195	TceA	PMID: 11097881	DET0079_tceA	WP_010935886.1
1,2-Dibromopropane	CC(CBr)Br	InChI=1S/C3H6Br2/c1-3(5)2-4/h3H,2H2,1H3	XFNJYAKDBJUJAJ-UHFFFAOYSA-N	Dehalococcoides mccartyi 195	TceA	PMID: 11097881	DET0079_tceA	WP_010935886.1
1,2-Dichloropropane	CC(CCl)Cl	InChI=1S/C3H6Cl2/c1-3(5)2-4/h3H,2H2,1H3	KNKRKFALVUDBJE-UHFFFAOYSA-N	Dehalococcoides mccartyi 195	TceA	PMID: 11097881	DET0079_tceA	WP_010935886.1
1,2,3-Trichloropropane	C(C(CCl)Cl)Cl	InChI=1S/C3H5Cl3/c4-1-3(6)2-5/h3H,1-2H2	CFXQEHVMCRXUSD-UHFFFAOYSA-N	Dehalococcoides mccartyi 195	TceA	PMID: 11097881	DET0079_tceA	WP_010935886.1
1,3-Dichloropropane	C(CCl)CCl	InChI=1S/C3H6Cl2/c4-2-1-3-5/h1-3H2	YHRUOJUYPBUZOS-UHFFFAOYSA-N	Dehalococcoides mccartyi 195	TceA	PMID: 11097881	DET0079_tceA	WP_010935886.1
1,4-Dichlorobutane	C(CCCl)CCl	InChI=1S/C4H8Cl2/c5-3-1-2-4-6/h1-4H2	KJDRSWPQXHESDQ-UHFFFAOYSA-N	Dehalococcoides mccartyi 195	TceA	PMID: 11097881	DET0079_tceA	WP_010935886.1
1,4-Dibromobutane	C(CCBr)CBr	InChI=1S/C4H8Br2/c5-3-1-2-4-6/h1-4H2	ULTHEAFYOOPTTB-UHFFFAOYSA-N	Dehalococcoides mccartyi 195	TceA	PMID: 11097881	DET0079_tceA	WP_010935886.1
