Group by year	RD Group	Gene ID	Accession No	New locus tag	Publication date	Reference	Earliest Date	Name on tree Perez de Mora et al.	Note1	Note2	Spcies 	Organism/strain	Protein Name	Characteristics
2004_20	27	8657042VS 	WP_012881438	DHCVS_RS00420	1-Nov-09	McMurdie, PLOS Gen.	DhcVS_88	VS_88			Dehalococcoides mccartyi	Dehalococcoides mccartyi VS		
2004_19	26	8657050VS	WP_012881445	DHCVS_RS00460	1-Nov-09	McMurdie, PLOS Gen.	DhcVS_96	VS_96			Dehalococcoides mccartyi	Dehalococcoides mccartyi VS		
2004_18	25	8657053VS 	WP_012881448	DHCVS_RS00475	1-Nov-09	McMurdie, PLOS Gen.	DhcVS_99	VS_99			Dehalococcoides mccartyi	Dehalococcoides mccartyi VS		
2004_17	24	8657058VS 	WP_012881453	DHCVS_RS00500	1-Nov-09	McMurdie, PLOS Gen.	DhcVS_104	VS_104			Dehalococcoides mccartyi	Dehalococcoides mccartyi VS		
2004_16	23	8657123VS	WP_012881517	DHCVS_RS00825	1-Nov-09	McMurdie, PLOS Gen.	DhcVS_169	VS_169			Dehalococcoides mccartyi	Dehalococcoides mccartyi VS		
2004_10	17	8658187VS	ACZ62362	DHCVS_RS06140	1-Nov-09	McMurdie, PLOS Gen.	DhcVS_1260	VS_1260	17_II subgroup		Dehalococcoides mccartyi	Dehalococcoides mccartyi VS		
2004_5	12	8658189VS 	WP_012882508	DHCVS_RS06150	1-Nov-09	McMurdie, PLOS Gen.	DhcVS_1263	VS_1263			Dehalococcoides mccartyi	Dehalococcoides mccartyi VS		
2004_1	8	8658217VS 	WP_012882535		1-Aug-04	Muller, AEM	DhcVS_1291vcrA	VS_1291vcrA	vinyl chloride reductase VcrA		Dehalococcoides mccartyi	Dehalococcoides mccartyi VS	vcrA	
	68	8658239VS	WP_012882555								Dehalococcoides mccartyi	Dehalococcoides mccartyi VS		
2005_6	34	8658241VS	WP_012882557	DHCVS_RS06425	1-Nov-09	McMurdie, PLOS Gen.	DhcVS_1316	VS_1316			Dehalococcoides mccartyi	Dehalococcoides mccartyi VS		
	61	8658252VS	WP_012882568								Dehalococcoides mccartyi	Dehalococcoides mccartyi VS		
	62	8658254VS	WP_012882570								Dehalococcoides mccartyi	Dehalococcoides mccartyi VS		
